"lhs","rhs","est","est.std","se","z","pvalue","ci.lower","ci.upper"
"relation","internet",1.38830939081693,0.726240848396307,0.507467118858238,2.73576225774099,0.00622359718452059,0.809914681937992,2.75144978849618
"internal","relation",0.825656822418711,0.818443728104897,0.125054623587518,6.6023694185196,4.04638544893032e-11,0.614972459368215,1.10893377884996
"anxiety","internal",0.786249907013645,0.648817892712084,0.110683539770556,7.10358476647496,1.21569421196455e-12,0.599947056470884,1.03586012552175
