"lhs","est","est.std","se","z","pvalue","ci.lower","ci.upper"
"med_ii",1.14626712015596,0.594387267463536,0.478119580015374,2.39744860505211,0.0165096968942853,0.613459095702782,2.43049339964459
"med_i",0.901252416635422,0.385649094330586,0.379766416787418,2.37317565955264,0.017635874400693,0.470391104218484,1.90333013498252
"med_r",0.649172599851893,0.531020934972441,0.104249900091903,6.22708126606938,4.75204764427417e-10,0.468141199373292,0.880931951966532
