"lhs","rhs","est","est.std","se","z","pvalue","ci.lower","ci.upper"
"internal","family",0.629748325738484,0.542921682640341,0.108450928434441,5.80675827149941,6.36939900822142e-09,0.434508743610862,0.859380740155301
"risk","internal",0.988950327839424,0.803295032399391,0.125130508831546,7.90335096591652,2.66453525910038e-15,0.773966258900341,1.27032899406911
"risk","family",-0.0458304405802169,-0.0320940703034462,0.126988450629409,-0.360902431308214,0.718172385992419,-0.326313908271669,0.16901963617837
