"lhs","rhs","est","est.std","se","z","pvalue","ci.lower","ci.upper"
"internal","relation",0.751380077943852,0.776474707380086,0.123959621500371,6.06149057934647,1.34865785206273e-09,0.546497372179127,1.03684174786818
"depression","internal",1.2051141205505,0.841273435311271,0.392813782104292,3.06790182893977,0.00215567422972729,0.783045759222744,2.16938066375293
"depression","relation",-0.151476999655458,-0.109275633375972,0.325425188775238,-0.465474108582538,0.641591974143489,-0.971737379613598,0.211318051265887
