"lhs","est","est.std","se","z","pvalue","ci.lower","ci.upper"
"med",0.622789813195402,0.436126290646904,0.140327439585276,4.43811855354872,9.07486339762897e-06,0.394055860293785,0.948869178201819
"total",0.576959372615185,0.404032220343458,0.102269863109373,5.64153852438572,1.68537319655826e-08,0.387500946231903,0.78921040307814
