"lhs","rhs","est","est.std","se","z","pvalue","ci.lower","ci.upper"
"internal","relation",0.751380077943852,0.776474707380086,0.123959621500371,6.06149057934647,1.34865785206273e-09,0.546497372179127,1.03684174786818
"depression","internal",1.2051141205505,0.841273435311271,0.392813782104292,3.06790182893977,0.00215567422972729,0.783045759222744,2.16938066375293
