停止信号任务-ssrt,停止信号任务-go_rt,停止信号任务-rt_variability,第1题,第2题,第3题,第4题,第5题,第6题,第7题,第8题,第9题,第10题,第12题,第13题,第14题,第15题,第16题,第17题,第18题,第19题,第20题,第21题,第22题,第23题,第24题,第25题,第26题,第27题,第28题,第30题,第31题,第32题,第33题,第34题,第35题,第36题,性别,危机-自己,问题-抑郁,问题-焦虑
251.0,791.4714285714285,0.1422936532127598,3,4,4,2,5,4,5,2,5,1,1,4,1,1,3,2,3,5,2,2,3,3,1,1,1,3,2,3,2,2,2,4,1,2,0,2.75,3.0,3.25
429.5,560.0265151515151,0.162843405466934,2,3,2,2,4,3,1,2,1,3,1,4,2,3,2,2,3,4,2,2,2,3,1,2,1,3,2,3,3,1,4,2,1,1,1,2.5,3.25,2.5
335.0,662.7372881355932,0.1774187979986054,3,4,2,3,3,2,5,4,5,4,2,2,5,2,4,5,4,5,3,3,3,3,1,1,1,2,5,5,3,4,5,5,3,2,0,3.75,4.0,4.5
399.0,788.6018099547512,0.1571173444161582,3,2,3,2,3,2,3,3,3,1,2,4,2,2,3,2,2,3,3,2,4,1,2,2,2,2,1,3,2,2,4,2,1,2,0,4.0,2.75,3.0
367.0,763.8144796380091,0.1848581578267098,3,3,2,1,4,2,5,1,2,2,2,3,4,2,3,1,2,4,2,2,2,2,2,2,4,3,2,3,4,1,1,4,2,1,1,3.5,2.5,4.25
339.0,760.2424242424242,0.2013830216340365,3,5,2,2,3,3,4,2,4,1,4,4,1,4,4,2,1,3,1,2,4,1,1,1,4,2,1,2,1,2,2,1,1,5,0,1.0,1.0,2.75
352.5,579.6798561151079,0.1514099835882792,3,3,4,4,3,3,2,2,2,1,1,1,1,1,3,1,2,2,1,5,1,1,1,1,2,1,2,2,1,1,1,1,1,4,0,1.25,1.0,1.0
330.5,828.4187192118227,0.1691731026420836,4,2,3,4,4,3,5,3,5,2,4,5,3,2,5,5,2,3,5,2,2,3,1,1,2,5,4,3,4,2,5,5,2,2,1,5.0,5.0,5.0
283.5,602.6363636363636,0.2175240184446685,1,5,5,3,1,5,1,5,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,4.0,1.0,1.0
322.0,621.8260869565217,0.2076166049600142,5,1,2,3,4,1,5,1,5,5,5,5,1,3,5,5,4,5,5,3,5,5,1,1,2,5,3,5,4,1,5,5,1,1,1,4.75,5.0,4.75
267.0,753.1277777777777,0.2146279500843859,2,4,5,4,4,4,2,4,2,2,1,1,1,1,2,3,3,3,3,4,1,3,1,1,2,1,3,2,1,4,2,1,1,4,0,1.25,2.0,1.5
366.0,639.816733067729,0.2198666179763481,3,3,4,3,4,4,1,4,1,1,4,3,1,3,4,2,1,1,2,2,3,2,1,1,1,2,1,2,4,4,1,3,1,2,0,2.75,2.5,2.25
414.0,776.1347826086957,0.1471711972059632,1,3,3,5,4,4,3,3,4,2,3,4,2,2,3,4,2,4,2,4,3,2,1,1,1,1,2,4,3,2,4,3,1,2,0,2.5,1.5,3.5
399.0,638.31654676259,0.1667692382707443,3,4,2,4,3,4,4,2,2,2,1,2,1,1,2,3,1,3,1,4,3,2,1,1,1,1,1,2,1,1,5,1,1,4,0,1.0,1.0,1.75
349.0,790.9746835443038,0.1388070574169373,3,5,4,4,5,5,2,2,2,3,2,4,3,2,3,2,1,2,2,5,2,2,1,1,1,1,2,2,1,2,4,3,3,3,0,3.5,2.75,2.0
398.0,647.878431372549,0.210267975557446,4,2,3,2,3,3,4,3,5,5,3,3,1,3,3,2,2,5,4,2,3,3,1,1,1,5,2,2,3,3,5,3,1,1,1,2.0,3.75,3.5
304.5,739.7962264150943,0.1734998692634278,3,1,2,2,2,1,3,2,4,3,2,1,2,1,3,2,3,3,3,2,4,2,1,1,1,2,4,2,4,1,1,3,1,2,0,2.5,3.0,3.0
407.0,573.2048192771084,0.257163885306338,3,3,3,4,2,2,4,2,2,1,3,1,3,2,3,2,2,3,2,3,3,2,1,1,2,3,2,3,1,3,2,3,2,4,1,1.5,3.5,3.75
194.5,880.67,0.1219308627851419,2,3,3,4,4,3,4,2,4,2,3,1,1,2,3,1,2,2,2,4,1,2,1,1,1,2,2,2,1,3,1,2,1,4,0,2.0,2.25,2.5
209.0,720.739837398374,0.3792040346132829,3,1,3,1,2,2,4,1,4,2,2,4,1,2,4,2,2,4,4,3,4,2,1,1,2,2,2,3,1,1,2,3,1,2,1,3.5,3.75,3.0
397.0,677.5679012345679,0.1709892226153947,2,3,4,3,4,4,2,3,2,1,2,1,2,3,1,2,2,4,2,4,1,4,1,2,1,2,1,2,1,2,3,3,2,3,1,1.75,1.0,2.75
316.5,801.0147058823529,0.1695794306490319,3,1,2,2,2,2,3,3,3,2,1,1,1,2,3,2,2,2,2,2,2,2,1,1,2,2,1,5,1,2,5,3,1,3,1,1.75,4.0,3.5
267.5,708.3842975206611,0.1973174792507028,1,3,3,3,2,3,4,4,2,4,4,4,2,2,3,3,2,2,2,4,2,2,1,1,1,2,2,3,1,2,3,1,3,1,1,1.0,2.0,2.5
354.0,643.5983935742972,0.1993227466322136,1,5,5,4,4,4,3,4,3,1,2,2,2,1,2,2,5,1,1,3,3,2,1,1,1,3,2,1,1,4,2,2,1,4,0,1.0,1.0,1.0
414.0,715.9311740890688,0.1899618897741806,2,4,4,2,4,5,1,3,2,1,2,4,3,1,3,2,1,4,2,3,1,4,2,1,1,2,1,2,2,2,4,2,1,2,1,3.5,1.75,3.0
319.0,669.8348214285714,0.2751262872623896,3,1,4,5,5,4,5,5,5,3,4,2,3,3,3,2,4,5,3,1,1,3,1,1,2,5,5,5,2,3,4,4,3,2,1,2.5,3.5,3.75
225.0,867.7744360902255,0.1279823516395036,3,4,4,4,4,3,3,3,3,3,1,2,2,2,3,2,3,3,3,3,3,2,2,2,1,2,3,3,2,3,3,3,3,3,1,2.75,2.0,2.25
321.5,774.3364485981308,0.1778050394742801,3,1,1,3,3,2,5,2,3,1,3,4,1,1,3,5,1,2,1,1,5,5,1,1,1,1,1,5,1,1,5,3,1,1,0,2.5,3.0,3.0
