停止信号任务-ssrt,停止信号任务-go_rt,停止信号任务-rt_variability,第1题,第2题,第3题,第4题,第5题,第6题,第7题,第8题,第9题,第10题,第12题,第13题,第14题,第15题,第16题,第17题,第18题,第19题,第20题,第21题,第22题,第23题,第24题,第25题,第26题,第27题,第28题,第30题,第31题,第32题,第33题,第34题,第35题,第36题,性别,危机-自己,问题-抑郁,问题-焦虑
314.0,796.2072538860103,0.1654221775980248,3,4,3,4,4,4,1,3,2,1,2,2,1,1,4,3,2,3,3,2,2,3,1,1,2,3,2,3,2,3,2,3,1,3,0,1.0,2.25,1.5
398.0,669.6434108527131,0.1821420067208067,3,5,2,1,4,4,4,2,5,2,3,3,1,2,3,1,1,5,4,1,4,2,1,1,1,2,1,2,1,2,2,3,1,1,0,2.75,3.5,3.25
170.5,582.9829787234042,0.4354920524231359,2,4,3,5,3,3,1,2,1,2,2,1,2,1,2,5,2,1,1,5,1,5,1,1,2,2,2,3,1,2,2,1,2,5,1,1.0,3.0,1.75
446.0,707.7153846153847,0.1869641899653466,3,4,4,3,4,4,2,2,3,2,2,4,1,1,4,4,2,2,4,2,4,1,1,1,3,3,2,2,4,3,2,4,1,2,0,4.25,3.5,4.0
317.0,769.1328125,0.1587034174038706,1,5,4,5,5,5,2,4,5,5,1,1,1,2,1,1,4,1,1,4,1,3,1,1,1,2,4,1,1,3,1,1,1,4,1,1.0,2.75,3.5
316.0,662.360655737705,0.2151612911054737,1,5,5,4,5,5,2,4,4,1,2,4,2,1,2,2,2,1,3,1,2,2,1,1,1,2,1,3,4,4,2,2,1,1,0,4.5,1.75,1.75
365.0,815.5447154471544,0.1203873630464371,2,4,3,2,2,3,3,3,3,3,1,1,1,1,4,2,2,2,1,3,3,2,1,2,1,1,3,2,1,3,3,2,3,3,1,2.0,2.0,1.5
251.0,883.4064516129032,0.1237838982436472,1,4,5,5,4,4,4,3,4,4,1,1,3,2,2,1,2,2,3,5,1,2,1,1,1,2,3,1,1,4,1,2,1,3,1,1.0,1.5,2.0
322.0,698.6706827309237,0.1474677196591594,1,2,3,4,4,2,2,3,2,5,1,1,1,2,2,1,2,2,1,3,4,2,1,1,1,2,2,2,1,3,5,1,1,4,0,1.75,1.75,3.0
299.0,790.0642201834862,0.1542477953401695,3,2,2,4,2,3,2,1,3,1,2,1,3,1,2,5,2,4,2,3,3,4,1,1,2,1,1,4,1,1,4,2,2,2,0,1.0,2.5,2.5
241.0,781.5026178010471,0.1973147353185126,3,2,1,4,2,1,5,1,5,3,2,2,1,2,4,5,4,5,2,2,4,4,1,2,3,2,1,5,2,1,5,3,3,2,0,2.5,3.5,2.5
236.5,797.8513513513514,0.2183875449281459,2,4,5,5,3,5,3,5,5,5,3,4,1,5,1,2,5,5,5,4,1,3,1,1,1,1,5,4,4,5,3,1,3,1,1,4.25,1.0,2.25
316.0,736.9942857142858,0.2427609963178653,4,1,1,5,1,1,5,1,5,2,3,2,2,1,5,5,5,5,4,1,4,3,3,2,5,5,5,5,4,1,5,5,2,3,0,3.75,4.25,4.75
229.5,652.7321428571429,0.229248535321747,3,5,4,5,5,4,5,5,5,1,2,2,3,1,3,5,2,2,3,3,3,2,2,2,1,3,2,5,4,3,3,3,2,3,0,3.0,3.25,3.0
271.0,812.2566844919786,0.144253254790942,1,4,4,3,4,5,2,3,3,1,3,2,1,2,3,2,1,2,1,3,1,2,1,1,1,3,2,3,2,4,4,3,1,2,0,1.0,3.5,3.0
318.0,741.5242290748898,0.2122957137262046,2,2,2,4,2,2,2,2,2,1,1,1,1,1,2,3,2,4,1,3,1,2,1,1,1,1,3,2,1,3,3,2,1,4,0,2.0,2.0,3.0
347.0,702.4100418410042,0.2434799669229219,2,5,4,4,4,5,4,2,3,1,2,1,3,1,3,5,3,3,1,3,2,4,1,1,1,2,2,3,1,2,5,2,1,4,1,1.0,1.0,1.25
386.0,459.258064516129,0.2056767959500442,2,5,5,1,4,4,1,5,3,1,1,1,1,1,3,4,2,1,2,1,1,3,1,1,1,1,2,4,1,4,1,1,1,1,1,1.0,1.0,1.0
262.0,800.5794392523364,0.1486228014499923,1,4,4,3,4,4,5,4,5,4,2,1,2,2,5,5,2,5,4,4,2,5,1,2,2,2,4,5,2,2,5,2,2,3,0,1.0,3.25,3.75
317.0,812.2300469483569,0.142848812371081,3,2,4,3,3,4,4,3,4,4,3,4,2,2,4,3,2,3,3,2,2,5,2,2,1,4,2,3,2,2,2,3,2,1,1,3.25,4.25,3.25
268.5,703.3526785714286,0.2081390758455909,3,3,2,3,3,3,3,2,3,2,2,3,2,1,3,4,2,4,2,3,4,2,1,1,1,2,3,3,1,2,4,3,1,2,1,1.5,2.75,3.75
364.0,734.5022222222223,0.1870439215574613,3,2,2,3,3,3,2,2,2,1,1,1,1,1,3,1,1,3,3,4,1,3,1,1,2,1,2,2,3,2,1,1,1,4,0,1.0,2.0,2.25
343.5,744.5206611570248,0.1567500152499462,1,4,4,5,5,4,2,2,1,1,1,2,2,1,1,3,1,2,1,4,2,2,1,1,1,1,1,3,1,1,2,1,1,5,0,1.75,2.25,2.5
175.0,765.5050505050505,0.1735124692824803,3,3,4,1,3,2,5,3,5,3,3,2,3,3,3,3,3,5,2,1,3,5,1,1,2,3,2,2,4,5,3,3,3,1,0,1.25,4.75,4.5
283.0,757.7227272727273,0.1949692562066746,3,4,2,3,3,4,5,2,4,2,2,4,1,3,4,2,2,3,3,3,3,1,2,1,1,2,2,2,4,2,2,3,2,2,0,4.0,3.5,3.75
413.0,766.707627118644,0.1677368634095702,1,5,4,5,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,1,4,2,1,1,4,0,1.0,1.0,2.75
429.5,601.2153846153847,0.1553908879921801,1,5,5,4,5,5,2,4,2,1,1,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,2,1,4,1,1,1,3,0,1.0,1.0,2.0
597.5,686.6505376344086,0.2701123803973,5,5,5,3,5,5,5,4,3,1,3,4,1,1,4,5,5,5,1,5,5,2,1,1,1,3,4,2,4,5,5,2,1,1,1,1.25,3.0,2.25
392.5,793.6736842105263,0.1283501701005388,3,2,3,4,2,1,4,3,5,4,3,4,2,3,4,3,2,5,5,3,1,2,1,1,1,5,1,4,4,2,1,5,2,4,1,4.25,4.25,3.5
282.0,754.0578034682081,0.2015306398417965,2,3,3,2,4,3,4,3,4,4,2,4,2,2,3,2,4,3,4,2,2,3,1,1,4,3,4,3,4,4,2,3,2,2,1,4.5,4.5,4.0
478.5,561.9506172839506,0.3801680343581506,3,3,4,3,5,3,2,4,5,1,3,4,2,2,4,2,2,5,4,1,4,1,2,2,2,4,1,4,4,4,2,4,1,2,0,1.5,2.5,3.0
347.0,825.520737327189,0.1505938297684886,2,5,4,4,5,3,1,5,3,1,1,1,2,1,3,2,2,3,1,3,1,1,1,1,1,2,1,1,1,4,2,2,1,5,1,3.0,1.5,2.5
366.5,536.6176470588235,0.132859839213772,2,2,4,3,4,4,2,3,2,1,2,4,2,2,4,5,1,4,3,2,3,2,1,1,1,3,2,5,4,3,5,3,1,2,0,1.75,2.0,2.75
372.0,652.9677419354839,0.2446338170468148,1,1,2,3,5,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,4,4,2,1,1,3,1,2.5,1.0,1.75
293.0,858.174193548387,0.1382683887990536,1,5,5,5,3,5,1,5,1,1,2,1,1,1,1,3,3,1,1,5,1,2,1,1,1,1,1,4,1,5,4,1,2,2,1,1.25,2.5,1.75
251.0,639.3252032520326,0.23634073592316,1,4,4,5,5,4,1,3,3,2,3,1,1,1,3,3,1,3,1,5,2,2,1,1,1,1,1,3,3,4,4,2,1,3,1,1.0,3.0,2.5
381.0,744.6175115207374,0.1778328664652005,3,4,5,3,5,3,5,5,5,5,5,4,2,5,2,1,4,5,4,3,4,1,2,2,1,5,1,2,4,5,1,2,1,2,1,3.25,2.0,2.5
319.0,700.5468164794007,0.1735909424204437,3,2,2,3,3,4,5,1,3,2,3,4,1,3,3,3,1,3,4,2,4,5,1,1,3,3,2,3,3,1,4,4,3,3,1,3.75,4.5,4.5
284.5,751.7162162162163,0.1972643282486935,3,3,5,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,1,1,1,2,3,3,3,3,3,3,1,2,0,3.75,3.25,1.25
171.0,750.3121951219512,0.2117720396336968,3,3,4,2,4,4,1,3,1,1,3,3,1,3,3,2,2,3,4,4,3,2,1,1,1,4,1,3,4,3,3,2,1,3,0,2.5,3.25,4.0
369.0,682.9230769230769,0.2082422513239378,3,2,2,2,4,1,5,1,5,3,4,4,3,2,3,5,5,5,5,2,3,5,1,1,1,3,5,2,4,2,5,1,1,1,0,1.75,4.0,4.0
397.0,761.6932270916335,0.1445712985007232,3,2,3,2,3,2,5,2,4,4,3,3,3,1,4,3,1,4,3,5,3,3,1,1,1,1,2,2,3,2,3,3,1,4,0,3.25,2.75,2.75
284.0,806.9945054945055,0.1731284853563551,4,3,4,5,3,3,2,3,2,1,2,4,1,2,4,2,2,3,4,5,4,4,1,1,4,2,2,4,1,3,3,3,3,2,0,1.25,3.5,4.25
388.0,787.6666666666666,0.1514823371165213,3,2,4,3,4,2,4,3,4,4,2,4,3,2,4,3,3,5,4,3,5,1,1,2,1,2,2,3,4,2,2,3,3,3,1,2.75,4.0,3.5
282.0,803.7511111111111,0.1648174833038611,2,5,2,4,4,4,3,2,2,1,1,2,1,1,3,4,2,2,2,4,3,2,1,1,1,1,1,2,1,2,2,2,1,3,0,1.25,1.5,2.25
220.5,720.2227722772277,0.2323854591775581,3,4,3,2,4,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2.75,2.25,3.25
283.0,813.0104712041884,0.1452700385361923,4,2,3,5,3,3,2,1,5,4,3,4,1,1,3,4,5,5,2,2,1,5,1,1,1,1,3,4,1,2,1,3,1,1,1,2.5,2.0,2.75
378.0,659.2610441767068,0.2055056155036857,1,2,3,4,5,4,2,4,4,2,2,2,2,2,2,2,2,4,2,4,2,2,1,1,1,2,2,2,2,4,2,1,1,2,0,4.0,3.5,2.25
380.0,656.0343511450382,0.1694560665428764,3,2,3,4,4,3,5,3,4,1,3,3,3,2,3,2,2,2,3,4,3,5,1,1,1,2,2,2,4,2,2,1,1,2,0,3.25,3.0,3.75
328.0,777.8073394495412,0.176646137979319,3,2,2,2,3,2,2,1,3,1,3,4,2,2,3,1,2,2,2,1,3,1,2,1,1,3,3,1,4,1,1,3,1,1,1,3.5,1.75,3.5
233.0,823.2655367231638,0.1357183519010807,3,2,1,3,4,3,3,1,2,1,2,2,1,2,3,2,3,4,2,3,3,3,1,1,1,1,5,2,2,2,3,2,2,4,0,2.0,4.0,2.5
179.5,827.4058823529411,0.141587109619706,5,4,2,3,3,4,5,2,4,1,4,4,1,3,3,4,2,5,2,5,3,2,1,3,1,3,2,5,1,1,2,3,1,3,1,1.25,1.75,2.25
250.0,874.1453488372093,0.1104691008175682,1,5,4,4,4,4,5,4,5,1,2,1,1,1,3,2,3,3,3,4,1,5,1,1,1,1,2,2,1,2,1,1,1,3,1,1.75,2.0,2.5
290.5,712.1397058823529,0.1629661703687359,1,3,4,5,3,3,5,4,4,1,3,1,1,1,1,1,1,2,1,5,1,1,1,1,1,2,1,2,1,3,1,1,1,4,0,1.0,1.0,1.75
249.0,593.8838174273859,0.2351093041983261,2,3,3,3,4,4,2,3,1,3,3,4,1,1,3,3,3,4,2,2,2,3,2,1,3,3,3,3,1,1,2,3,1,2,1,1.0,2.5,2.5
316.0,864.0,0.1509984856010054,3,5,4,2,3,3,4,3,4,1,3,4,2,3,4,1,2,3,1,2,3,3,1,1,2,4,2,2,4,2,1,3,2,1,0,3.5,3.0,3.75
331.5,689.9440298507462,0.1717556141986157,4,2,3,2,2,2,4,2,4,4,3,4,3,1,4,3,4,4,4,2,2,2,1,1,1,3,2,2,2,2,4,3,2,2,0,3.25,3.75,3.75
327.5,650.8214285714286,0.1632691195061916,3,3,3,5,5,2,3,2,4,2,3,1,1,3,2,2,4,2,4,5,1,1,1,1,1,3,1,1,1,4,2,2,1,3,0,1.0,1.0,1.0
347.0,780.2740384615385,0.1632012108962313,3,3,3,5,4,4,3,2,3,1,2,2,1,2,4,4,2,4,2,3,1,3,1,1,1,1,3,5,1,2,5,5,2,4,0,1.0,3.75,4.0
431.0,669.7327935222672,0.1611521548804408,3,4,3,5,4,4,5,1,5,3,2,4,1,2,4,4,2,5,4,4,2,1,1,1,1,3,2,4,2,1,3,3,1,4,0,2.0,2.25,1.5
250.0,659.8149606299213,0.2622098411076764,5,3,4,4,5,3,4,5,5,4,2,2,2,3,3,2,4,4,3,4,4,4,1,1,1,4,4,2,4,3,2,2,1,2,1,3.0,3.5,3.5
366.0,591.1439393939394,0.1698894005338287,2,3,3,3,3,3,3,3,3,4,2,1,2,2,2,1,1,2,2,3,3,1,2,2,1,2,2,2,2,4,2,3,1,3,1,2.5,3.75,3.0
380.0,615.2043010752689,0.1964612690164461,3,3,3,2,4,4,4,2,2,1,2,2,2,2,3,3,2,4,2,1,2,1,1,1,1,2,1,3,2,2,1,4,1,2,0,1.75,3.25,2.75
301.0,685.6929460580913,0.1727878074464278,3,3,4,3,3,3,4,3,3,3,2,1,2,4,2,2,2,2,3,3,3,1,1,1,1,2,2,3,1,4,3,1,3,4,0,1.0,1.0,1.0
366.0,839.9322916666666,0.1349414446264904,2,3,3,2,2,2,2,2,2,1,2,2,3,2,3,2,3,2,2,2,1,2,1,3,2,3,1,2,1,2,1,2,2,1,1,1.5,2.0,3.0
333.5,812.324200913242,0.1491196300165927,2,4,4,3,4,3,1,3,2,1,1,1,1,1,2,3,1,2,1,4,2,1,1,1,1,1,1,3,1,4,4,2,1,2,0,1.25,2.75,2.75
352.0,785.311475409836,0.1583719124248012,3,1,4,1,5,4,1,2,2,1,1,1,1,1,3,2,2,4,3,2,2,1,1,1,2,1,1,2,1,2,5,1,1,2,1,1.0,1.25,1.0
326.5,777.8375,0.1668087707815972,2,4,4,4,4,4,2,3,2,1,2,1,2,2,3,2,2,2,2,4,2,2,2,1,1,2,2,2,2,2,3,2,2,3,1,1.0,2.5,3.0
413.0,730.0854700854701,0.1564892663545533,2,3,2,3,3,3,2,3,1,1,2,3,1,2,2,2,1,1,2,4,1,1,1,1,1,1,1,2,2,2,2,2,1,2,0,3.25,3.5,4.0
366.0,796.5825688073395,0.1480934927250924,2,3,3,4,4,4,3,3,3,2,2,1,2,1,3,5,4,4,3,3,4,4,1,1,2,2,2,5,1,2,5,2,1,2,0,2.25,2.75,2.25
493.0,566.901185770751,0.1646952798503548,2,4,4,4,4,4,4,4,4,3,3,2,3,2,3,2,4,3,3,4,3,2,1,1,1,2,1,3,2,4,5,2,1,3,1,1.75,3.5,2.5
203.0,683.0334928229665,0.2816114115702622,3,4,5,4,4,4,4,3,4,1,3,4,3,2,3,2,1,4,4,3,4,2,1,1,2,2,1,3,1,4,4,3,1,4,1,2.25,3.5,3.25
222.0,587.0158102766799,0.2370767842314808,1,4,5,4,4,3,4,5,5,2,3,1,2,1,3,2,3,5,3,5,1,2,1,1,1,3,4,2,1,4,3,2,1,5,0,1.25,1.75,2.75
345.0,532.3932584269663,0.205906447960657,3,2,3,2,4,3,2,3,4,3,3,1,2,2,3,3,4,3,3,4,1,2,1,1,1,3,3,4,1,4,4,3,2,2,0,1.0,3.25,3.25
251.0,657.1958333333333,0.1882003283335495,3,2,5,3,2,5,5,5,5,1,3,1,3,3,3,5,3,5,5,1,3,5,1,1,5,5,2,5,3,5,5,3,4,2,0,3.25,3.75,3.25
366.0,761.0204081632653,0.1670843407229023,3,2,3,5,5,4,5,2,5,2,2,2,2,1,3,2,2,4,1,3,2,2,1,2,3,2,2,2,1,3,4,2,1,3,1,1.0,1.25,1.5
332.0,868.754189944134,0.1063309878218031,3,2,4,2,2,2,2,2,3,2,2,3,1,2,4,2,2,3,3,1,3,2,2,1,2,2,2,2,3,2,2,3,1,2,0,3.5,3.0,3.5
365.0,587.7799227799228,0.1705556630616478,3,2,4,2,3,3,2,3,2,4,2,4,2,2,3,5,2,2,2,4,4,2,1,2,1,2,3,4,4,2,5,2,1,3,1,2.25,2.5,1.5
270.0,728.7808764940239,0.1663507047546857,1,5,4,5,4,5,5,4,4,1,1,2,1,1,3,2,4,5,2,5,2,2,1,1,1,1,2,4,1,4,1,1,1,5,0,1.0,2.5,3.5
349.5,707.7327586206897,0.1948094686576961,3,4,3,4,5,5,5,4,5,1,2,1,1,1,3,2,2,5,1,5,1,5,1,1,1,3,4,3,1,4,2,2,1,2,0,1.0,2.5,2.0
301.0,648.3041825095057,0.2177114266043252,3,4,3,4,5,5,1,1,1,1,3,4,1,1,2,5,1,1,2,5,1,1,1,1,1,1,1,2,1,2,3,1,1,3,0,2.0,3.25,4.25
241.0,737.3775933609959,0.2043780977335399,3,2,4,3,5,3,4,3,4,2,3,4,2,5,2,2,2,5,3,2,2,2,2,2,2,4,1,3,1,2,2,1,1,2,1,1.5,2.75,2.5
366.0,515.3487544483986,0.1948605577319448,3,2,2,5,4,3,5,2,5,5,2,5,2,1,5,2,5,5,5,4,5,4,1,1,2,2,5,5,5,2,4,4,2,3,0,3.75,3.5,4.25
332.0,619.1148148148148,0.1837805568420756,2,4,3,5,5,5,5,1,2,4,3,4,2,5,2,1,4,1,1,3,4,2,1,1,2,4,1,2,2,4,1,1,1,5,1,3.25,1.25,2.75
421.0,771.8559670781893,0.1685186203511267,4,5,4,5,5,5,4,4,5,1,2,1,1,1,3,2,1,2,5,3,1,1,1,1,3,2,5,2,1,4,5,2,1,3,0,1.0,1.0,1.25
389.0,744.1008064516129,0.1619191720081133,3,5,2,5,2,2,5,2,5,1,3,1,1,1,3,5,2,5,2,5,3,3,1,1,1,3,2,5,1,1,5,3,1,3,0,1.0,3.5,3.25
349.0,715.4045801526718,0.1867007405368231,1,5,5,5,5,5,1,5,1,3,3,1,2,2,3,3,2,4,3,2,1,1,1,1,2,4,1,3,1,5,2,1,1,2,0,1.0,2.5,1.75
269.5,433.6279069767442,0.581894295693119,4,3,3,3,2,2,4,2,3,3,3,4,1,2,4,2,3,4,4,2,3,1,2,1,1,3,3,4,2,1,1,4,1,1,1,4.5,4.5,4.5
